0, 113, 143, 255 !
124, 144, 44, 255 !
102, 80, 30, 255 !
188, 143, 217, 255 !
68, 214, 248, 255 !
37, 27, 1, 255 !
105, 175, 0, 255 !
146, 164, 174, 255 !
121, 163, 221, 255 !
173, 141, 72, 255 !
166, 170, 133, 255 !
170, 182, 203, 255 !
94, 185, 202, 255 !
89, 55, 34, 255 !
123, 62, 51, 255 !
71, 102, 178, 255 !
165, 132, 84, 255 !
99, 133, 177, 255 !
115, 101, 105, 255 !
44, 101, 56, 255 !
89, 101, 104, 255 !
89, 84, 101, 255 !
74, 92, 110, 255 !
62, 117, 143, 255 !
118, 197, 176, 255 !
160, 195, 188, 255 !
193, 235, 230, 255 !
203, 229, 235, 255 !
200, 236, 206, 255 !
210, 209, 180, 255 !
202, 188, 129, 255 !
223, 204, 174, 255 !
222, 177, 163, 255 !
216, 109, 111, 255 !
86, 138, 98, 255 !
101, 79, 115, 255 !
