241, 122, 163, 255 !
224, 151, 198, 255 !
236, 110, 110, 255 !
252, 44, 169, 255 !
219, 40, 114, 255 !
243, 13, 105, 255 !
203, 38, 41, 255 !
255, 0, 0, 255 !
255, 128, 52, 255 !
255, 190, 56, 255 !
255, 245, 0, 255 !
253, 227, 112, 255 !
247, 239, 193, 255 !
205, 177, 34, 255 !
207, 255, 104, 255 !
161, 205, 140, 255 !
88, 148, 60, 255 !
31, 118, 56, 255 !
161, 246, 216, 255 !
108, 182, 186, 255 !
13, 38, 125, 255 !
0, 18, 178, 255 !
64, 116, 223, 255 !
136, 163, 218, 255 !
18, 185, 239, 255 !
167, 219, 225, 255 !
148, 255, 249, 255 !
141, 61, 152, 255 !
164, 109, 162, 255 !
125, 44, 146, 255 !
65, 41, 104, 255 !
203, 147, 227, 255 !
250, 134, 241, 255 !
222, 225, 231, 255 !
181, 176, 172, 255 !
34, 26, 2, 255 !
255, 255, 255, 255 !
118, 50, 37, 255 !
144, 97, 64, 255 !
202, 170, 147, 255 !
