117, 47, 22, 255 !
147, 167, 176, 255 !
146, 66, 151, 255 !
42, 55, 107, 255 !
219, 43, 113, 255 !
179, 131, 85, 255 !
0, 0, 0, 255 !
77, 77, 77, 255 !
114, 191, 68, 255 !
14, 20, 14, 255 !
243, 229, 201, 255 !
181, 128, 82, 255 !
239, 217, 177, 255 !
204, 175, 89, 255 !
138, 102, 68, 255 !
233, 199, 101, 255 !
128, 87, 59, 255 !
247, 238, 205, 255 !
35, 43, 34, 255 !
234, 232, 222, 255 !
237, 199, 89, 255 !
144, 97, 64, 255 !
113, 72, 42, 255 !
185, 65, 18, 255 !
84, 65, 43, 255 !
229, 213, 186, 255 !
231, 216, 192, 255 !
188, 75, 163, 255 !
